"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"15-19 years"	"15-19"	86614
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"20-24 years"	"20-24"	209041
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"25-29 years"	"25-29"	216847
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"30-34 years"	"30-34"	174909
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"35-39 years"	"35-39"	92812
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"40-44 years"	"40-44"	19457
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"45-49 years"	"45-49"	1094
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"50 years and over"	"50+"	66
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"Under 15 years"	"15"	619
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"15-19 years"	"15-19"	31670
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"20-24 years"	"20-24"	74600
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"25-29 years"	"25-29"	63038
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"30-34 years"	"30-34"	44822
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"35-39 years"	"35-39"	17711
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"40-44 years"	"40-44"	3448
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"45-49 years"	"45-49"	141
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"50 years and over"	"50+"	Suppressed
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"Under 15 years"	"15"	623
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"15-19 years"	"15-19"	31458
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"20-24 years"	"20-24"	74466
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"25-29 years"	"25-29"	64643
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"30-34 years"	"30-34"	44495
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"35-39 years"	"35-39"	18303
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"40-44 years"	"40-44"	3536
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"45-49 years"	"45-49"	166
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"50 years and over"	"50+"	Suppressed
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"Under 15 years"	"15"	595
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"15-19 years"	"15-19"	31693
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"20-24 years"	"20-24"	75569
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"25-29 years"	"25-29"	66937
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"30-34 years"	"30-34"	44109
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"35-39 years"	"35-39"	18333
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"40-44 years"	"40-44"	3627
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"45-49 years"	"45-49"	165
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"50 years and over"	"50+"	11
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"Under 15 years"	"15"	576
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"15-19 years"	"15-19"	34137
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"20-24 years"	"20-24"	78753
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"25-29 years"	"25-29"	70924
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"30-34 years"	"30-34"	44141
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"35-39 years"	"35-39"	19447
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"40-44 years"	"40-44"	3693
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"45-49 years"	"45-49"	205
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"50 years and over"	"50+"	17
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"Under 15 years"	"15"	1354
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"15-19 years"	"15-19"	73184
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"20-24 years"	"20-24"	158900
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"25-29 years"	"25-29"	140163
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"30-34 years"	"30-34"	104673
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"35-39 years"	"35-39"	43692
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"40-44 years"	"40-44"	8843
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"45-49 years"	"45-49"	464
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"50 years and over"	"50+"	Suppressed
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"Under 15 years"	"15"	1373
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"15-19 years"	"15-19"	73417
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"20-24 years"	"20-24"	160141
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"25-29 years"	"25-29"	142547
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"30-34 years"	"30-34"	104658
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"35-39 years"	"35-39"	44721
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"40-44 years"	"40-44"	9217
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"45-49 years"	"45-49"	446
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"50 years and over"	"50+"	21
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"Under 15 years"	"15"	1281
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"15-19 years"	"15-19"	71662
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"20-24 years"	"20-24"	158680
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"25-29 years"	"25-29"	145712
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"30-34 years"	"30-34"	104015
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"35-39 years"	"35-39"	46611
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"40-44 years"	"40-44"	9406
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"45-49 years"	"45-49"	466
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"50 years and over"	"50+"	28
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"Under 15 years"	"15"	1296
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"15-19 years"	"15-19"	74894
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"20-24 years"	"20-24"	165935
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"25-29 years"	"25-29"	152252
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"30-34 years"	"30-34"	104871
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"35-39 years"	"35-39"	48594
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"40-44 years"	"40-44"	9554
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"45-49 years"	"45-49"	526
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"50 years and over"	"50+"	34
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"Under 15 years"	"15"	530
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"15-19 years"	"15-19"	33886
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"20-24 years"	"20-24"	88406
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"25-29 years"	"25-29"	87866
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"30-34 years"	"30-34"	65482
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"35-39 years"	"35-39"	28717
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"40-44 years"	"40-44"	6276
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"45-49 years"	"45-49"	368
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"50 years and over"	"50+"	25
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"Under 15 years"	"15"	473
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"15-19 years"	"15-19"	33994
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"20-24 years"	"20-24"	88751
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"25-29 years"	"25-29"	90332
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"30-34 years"	"30-34"	66534
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"35-39 years"	"35-39"	30280
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"40-44 years"	"40-44"	6532
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"45-49 years"	"45-49"	367
	"Division 8: Mountain"	"CENS-D8"	"2004"	"2004"	"50 years and over"	"50+"	15
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"Under 15 years"	"15"	521
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"15-19 years"	"15-19"	34042
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"20-24 years"	"20-24"	89655
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"25-29 years"	"25-29"	94287
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"30-34 years"	"30-34"	67722
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"35-39 years"	"35-39"	31319
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"40-44 years"	"40-44"	6746
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"45-49 years"	"45-49"	371
	"Division 8: Mountain"	"CENS-D8"	"2005"	"2005"	"50 years and over"	"50+"	23
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"Under 15 years"	"15"	474
