"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"16 years and over"	"16+"	20906
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"Not stated/Not on certificate"	"NR"	2425
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"Excluded"	"999"	138191
"Total"	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"			241039
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"0 -  8 years"	"19176"	5464
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"9 - 11 years"	"19177"	20140
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"12 years"	"19178"	33147
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"13 - 15 years"	"19179"	26413
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"16 years and over"	"16+"	21707
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"Not stated/Not on certificate"	"NR"	2417
	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"	"Excluded"	"999"	142605
"Total"	"Division 6: East South Central"	"CENS-D6"	"2006"	"2006"			251893
"Total"	"Division 6: East South Central"	"CENS-D6"					966689
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"0 -  8 years"	"19176"	43576
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"9 - 11 years"	"19177"	110457
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"12 years"	"19178"	173572
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"13 - 15 years"	"19179"	92973
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"16 years and over"	"16+"	104600
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"Not stated/Not on certificate"	"NR"	6103
	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"	"Excluded"	"999"	0
"Total"	"Division 7: West South Central"	"CENS-D7"	"2003"	"2003"			531281
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"0 -  8 years"	"19176"	42710
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"9 - 11 years"	"19177"	112192
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"12 years"	"19178"	175496
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"13 - 15 years"	"19179"	93995
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"16 years and over"	"16+"	105815
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"Not stated/Not on certificate"	"NR"	6333
	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"	"Excluded"	"999"	0
"Total"	"Division 7: West South Central"	"CENS-D7"	"2004"	"2004"			536541
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"0 -  8 years"	"19176"	6401
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"9 - 11 years"	"19177"	26244
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"12 years"	"19178"	54864
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"13 - 15 years"	"19179"	30969
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"16 years and over"	"16+"	30205
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"Not stated/Not on certificate"	"NR"	3263
	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"	"Excluded"	"999"	385915
"Total"	"Division 7: West South Central"	"CENS-D7"	"2005"	"2005"			537861
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"0 -  8 years"	"19176"	6781
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"9 - 11 years"	"19177"	27189
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"12 years"	"19178"	57336
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"13 - 15 years"	"19179"	32807
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"16 years and over"	"16+"	31236
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"Not stated/Not on certificate"	"NR"	3004
	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"	"Excluded"	"999"	399603
"Total"	"Division 7: West South Central"	"CENS-D7"	"2006"	"2006"			557956
"Total"	"Division 7: West South Central"	"CENS-D7"					2163639
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"0 -  8 years"	"19176"	20456
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"9 - 11 years"	"19177"	52668
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"12 years"	"19178"	93483
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"13 - 15 years"	"19179"	70021
	"Division 8: Mountain"	"CENS-D8"	"2003"	"2003"	"16 years and over"	"16+"	69236
