"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother"	"Age of Mother Code"	Births
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"40-44 years"	"40-44"	12500
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"45-49 years"	"45-49"	581
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"50 years and over"	"50+"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"Under 15 years"	"15"	925
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"15-19 years"	"15-19"	45531
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"20-24 years"	"20-24"	97320
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"25-29 years"	"25-29"	140283
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"30-34 years"	"30-34"	146365
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"35-39 years"	"35-39"	70194
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"40-44 years"	"40-44"	13503
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"45-49 years"	"45-49"	592
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"50 years and over"	"50+"	28
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"Under 15 years"	"15"	792
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"15-19 years"	"15-19"	45901
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"20-24 years"	"20-24"	99299
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"25-29 years"	"25-29"	139534
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"30-34 years"	"30-34"	144995
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"35-39 years"	"35-39"	72899
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"40-44 years"	"40-44"	14562
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"45-49 years"	"45-49"	647
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"50 years and over"	"50+"	27
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"Under 15 years"	"15"	840
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"15-19 years"	"15-19"	44375
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"20-24 years"	"20-24"	100553
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"25-29 years"	"25-29"	135844
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"30-34 years"	"30-34"	143197
