"Notes","Division","Division Code","Year","Year Code",Deaths,Population,Crude Rate
,"Division 6: East South Central","CENS-D6","1978","1978",26,14406264,0.001804770
,"Division 7: West South Central","CENS-D7","1968","1968",113,18785282,0.006015347
,"Division 7: West South Central","CENS-D7","1969","1969",106,19099742,0.005549813
,"Division 7: West South Central","CENS-D7","1970","1970",105,19371626,0.005420299
,"Division 7: West South Central","CENS-D7","1971","1971",89,19845291,0.004484691
,"Division 7: West South Central","CENS-D7","1972","1972",98,20204514,0.004850401
,"Division 7: West South Central","CENS-D7","1973","1973",78,20559023,0.003793955
,"Division 7: West South Central","CENS-D7","1974","1974",62,20923788,0.002963135
,"Division 7: West South Central","CENS-D7","1975","1975",48,21393430,0.002243679
,"Division 7: West South Central","CENS-D7","1976","1976",65,21865543,0.002972714
,"Division 7: West South Central","CENS-D7","1977","1977",40,22314049,0.001792593
,"Division 7: West South Central","CENS-D7","1978","1978",44,22756763,0.001933491
,"Division 8: Mountain","CENS-D8","1968","1968",46,7858383,0.005853622
,"Division 8: Mountain","CENS-D8","1969","1969",28,8099410,0.003457042
,"Division 8: Mountain","CENS-D8","1970","1970",32,8311941,0.003849883
,"Division 8: Mountain","CENS-D8","1971","1971",19,8677776,0.002189501 (Unreliable)
,"Division 8: Mountain","CENS-D8","1972","1972",32,9004107,0.003553934
,"Division 8: Mountain","CENS-D8","1973","1973",18,9325139,0.001930266 (Unreliable)
,"Division 8: Mountain","CENS-D8","1974","1974",23,9604865,0.002394620
,"Division 8: Mountain","CENS-D8","1975","1975",20,9856125,0.002029195
,"Division 8: Mountain","CENS-D8","1976","1976",17,10120941,0.001679686 (Unreliable)
,"Division 8: Mountain","CENS-D8","1977","1977",25,10431914,0.002396492
,"Division 8: Mountain","CENS-D8","1978","1978",13,10767010,0.001207392 (Unreliable)
,"Division 9: Pacific","CENS-D9","1968","1968",73,26019264,0.002805614
,"Division 9: Pacific","CENS-D9","1969","1969",87,26309018,0.003306851
,"Division 9: Pacific","CENS-D9","1970","1970",83,26592460,0.003121186
,"Division 9: Pacific","CENS-D9","1971","1971",56,27062710,0.002069268
,"Division 9: Pacific","CENS-D9","1972","1972",64,27355913,0.002339531
,"Division 9: Pacific","CENS-D9","1973","1973",46,27738931,0.001658319
,"Division 9: Pacific","CENS-D9","1974","1974",45,28210654,0.001595142
,"Division 9: Pacific","CENS-D9","1975","1975",47,28748282,0.001634880
,"Division 9: Pacific","CENS-D9","1976","1976",47,29328522,0.001602536
,"Division 9: Pacific","CENS-D9","1977","1977",45,29927012,0.001503658
,"Division 9: Pacific","CENS-D9","1978","1978",38,30614297,0.001241250
,"Division 1: New England","CENS-D1","1979","1979",8,12351521,0.000647694 (Unreliable)
,"Division 1: New England","CENS-D1","1980","1980",7,12358962,0.000566391 (Unreliable)
,"Division 1: New England","CENS-D1","1981","1981",2,12445450,0.000160701 (Unreliable)
,"Division 1: New England","CENS-D1","1982","1982",7,12478426,0.000560968 (Unreliable)
,"Division 1: New England","CENS-D1","1983","1983",4,12552285,0.000318667 (Unreliable)
,"Division 1: New England","CENS-D1","1984","1984",4,12651562,0.000316167 (Unreliable)
,"Division 1: New England","CENS-D1","1985","1985",9,12753716,0.000705677 (Unreliable)
,"Division 1: New England","CENS-D1","1986","1986",8,12844121,0.000622853 (Unreliable)
,"Division 1: New England","CENS-D1","1987","1987",8,12964450,0.000617072 (Unreliable)
,"Division 1: New England","CENS-D1","1988","1988",11,13098942,0.000839763 (Unreliable)
,"Division 1: New England","CENS-D1","1989","1989",10,13197021,0.000757747 (Unreliable)
,"Division 1: New England","CENS-D1","1990","1990",Suppressed,13210156,Suppressed
,"Division 1: New England","CENS-D1","1991","1991",Suppressed,13250789,Suppressed
,"Division 1: New England","CENS-D1","1992","1992",Suppressed,13274512,Suppressed
,"Division 1: New England","CENS-D1","1993","1993",Suppressed,13336824,Suppressed
,"Division 1: New England","CENS-D1","1994","1994",Suppressed,13399226,Suppressed
,"Division 1: New England","CENS-D1","1995","1995",Suppressed,13472550,Suppressed
,"Division 1: New England","CENS-D1","1996","1996",Suppressed,13557240,Suppressed
,"Division 1: New England","CENS-D1","1997","1997",Suppressed,13644337,Suppressed
,"Division 1: New England","CENS-D1","1998","1998",Suppressed,13739172,Suppressed
,"Division 2: Middle Atlantic","CENS-D2","1979","1979",53,36901760,0.001436246
,"Division 2: Middle Atlantic","CENS-D2","1980","1980",63,36812157,0.001711391
,"Division 2: Middle Atlantic","CENS-D2","1981","1981",43,36858179,0.001166634
,"Division 2: Middle Atlantic","CENS-D2","1982","1982",43,36895421,0.001165456
,"Division 2: Middle Atlantic","CENS-D2","1983","1983",55,37013845,0.001485931
,"Division 2: Middle Atlantic","CENS-D2","1984","1984",56,37098569,0.001509492
,"Division 2: Middle Atlantic","CENS-D2","1985","1985",45,37162455,0.001210900
,"Division 2: Middle Atlantic","CENS-D2","1986","1986",50,37274829,0.001341388
,"Division 2: Middle Atlantic","CENS-D2","1987","1987",44,37395295,0.001176619
,"Division 2: Middle Atlantic","CENS-D2","1988","1988",53,37552298,0.001411365
,"Division 2: Middle Atlantic","CENS-D2","1989","1989",49,37634859,0.001301984
,"Division 2: Middle Atlantic","CENS-D2","1990","1990",59,37633132,0.001567768
,"Division 2: Middle Atlantic","CENS-D2","1991","1991",52,37935888,0.001370734
,"Division 2: Middle Atlantic","CENS-D2","1992","1992",63,38187467,0.001649756
,"Division 2: Middle Atlantic","CENS-D2","1993","1993",54,38456568,0.001404181
,"Division 2: Middle Atlantic","CENS-D2","1994","1994",57,38656895,0.001474511
