State,Year,Maternal_Mortality_Rate,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity,Births,BirthCenterBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Unmarried,3rdMonthInitialCare,4thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,UnknownInitialCare,20-27Weeks,32-35Weeks,37-39Weeks,40Weeks,42PlusWeeks
Arkansas,2016,44.4165752207765,0.057646221935062476,0.11352058045455492,0.11527939471678576,0.03535368319406595,0.0335772349408362,0.11537708702691969,0.15047260859276168,0.18775439236264796,0.1145743877566495,0.07604940762134037,27.0,39.4,66.4,35.4,38274,0.0018550452003971364,0.9243350577415478,0.0579244395673303,0.0044155301248889585,0.0061660657365313265,0.44510633850655795,0.2600721116162408,0.08961697235721378,0.03976589852118932,0.02152897528348226,0.11681559283064222,0.00721116162407901,0.046062601243664104,0.6746355228092178,0.17782306526623817,0.0018289178032084444
Arkansas,2017,37.3134328358209,0.05687201470715799,0.11395634022334958,0.11186261287100177,0.04531559109847584,0.034199878559616315,0.11176502684839819,0.14749515217823195,0.18790870705165694,0.11933266550449526,0.0711597976366694,28.8,37.4,66.2,35.9,37520,0.0003198294243070363,0.9190831556503198,0.06433901918976546,0.0042110874200426435,0.006902985074626866,0.4550106609808102,0.2738539445628998,0.09592217484008529,0.03502132196162047,0.01942963752665245,0.05525053304904051,0.007196162046908316,0.050266524520255866,0.6819029850746269,0.16713752665245202,0.001732409381663113
Arkansas,2018,62.131935815008916,0.05257182531998444,0.12693172560451196,0.11283130186608889,0.043440079130402924,0.04072773454331674,0.10791949493310725,0.14920721314792815,0.18296847169814612,0.11439402265404348,0.07027044943487006,29.4,39.4,68.8,33.4,37018,0.000270138851369604,0.9179588308390513,0.0641849910854179,0.004349235507050624,0.007266735101842347,0.45369820087524987,0.30785023502080067,0.10289588848668216,0.035793397806472525,0.02104381652169215,0.011805067804851693,0.006915554595061862,0.05210978442919661,0.6888000432222162,0.16054351936895564,0.0024042357771894753
Arkansas,2019,38.28902745870255,0.05202548331471949,0.1295717751910884,0.11133518696408541,0.04398722015446769,0.04374594033688217,0.10973926851596942,0.13652723007644926,0.18771257359468393,0.12307631420256326,0.061868311211387854,29.2,39.0,68.2,34.1,36564,0.017038617219122636,0.9143966743244721,0.07094409801991029,0.004485286073733727,0.004430587463078438,0.4678645662400175,0.3000218794442621,0.09807460890493382,0.032873865003828905,0.023629799803085,0.010420085329832622,0.007384312438464063,0.05155344054261022,0.7035061809430041,0.15006563833278636,0.00169565693031397
California,2011,14.140046204094638,0.04863154498107232,0.15082758403313698,0.09850757844285923,0.06732761721411955,0.07173586479657768,0.09008951316094557,0.12422333998383246,0.1687541220152319,0.12266452742618715,0.056951567476391254,28.5,24.5,53.0,20.1,502120,0.002664701664940652,0.8667808491993946,0.03717039751453836,0.083227117023819,0.008392416155500676,0.4036664542340476,0.2903807854696089,0.08096670118696726,0.01368796303672429,0.00956345096789612,0.024219310125069705,0.005164104198199634,0.03803672428901458,0.6004919142834382,0.23628813829363499,0.005428981120050984
California,2012,16.079244871018652,0.04809699252613354,0.15272923250884388,0.09491075048987621,0.06874675478537486,0.07542166362298043,0.08802151530235347,0.12287634997323724,0.16964938304675048,0.1226010804752348,0.05769140498147755,29.8,23.8,53.6,21.1,503755,0.002804934938611031,0.8627745630316325,0.03887008565671805,0.08439618465325406,0.008932913817232583,0.40104018818671777,0.2895554386556957,0.07836746037260175,0.013651477404690773,0.009752756796458597,0.02459131919286161,0.005067939772309953,0.037548014411767625,0.6047622356105646,0.23452868954154302,0.004996476461772092
California,2013,15.56483156628698,0.04644689836447076,0.15326542938292384,0.09151039152681159,0.07141128499348633,0.08496915817549437,0.08736449866436748,0.12002235240038475,0.16651101609974198,0.1221869346462778,0.05645888190066474,29.7,23.1,52.8,21.8,494705,0.0026864495002071943,0.8528153141771359,0.04498842744666013,0.0871751852113886,0.009534975389373465,0.396800113198775,0.2823339161722643,0.07474151261863131,0.014356030361528587,0.0103415166614447,0.019419654137314158,0.005478012148654249,0.037850840399834246,0.6041580335755652,0.23257699032756896,0.005146501450359305
California,2014,17.499239379651964,0.04544080021062815,0.1577179355657604,0.08692608765107449,0.07638076170945993,0.08970936571320229,0.08538227475693984,0.1169338287583189,0.16400195248591948,0.1231007985498626,0.05347611550526808,27.6,25.4,53.0,23.0,502879,0.002968905044752316,0.8478103082451246,0.04766156471039753,0.08953446057600337,0.00903199377981582,0.38768769425647126,0.21550711006027296,0.06346258245025145,0.015319788656913491,0.01063476502299758,0.016156968177235477,0.005259714563543119,0.03719184933154894,0.6067861254894319,0.23128028810111378,0.004804336629686267
California,2015,17.08192000780888,0.04274472384586691,0.1605062665771319,0.08477586452680717,0.08071372133200407,0.09785645915683168,0.08190348301464506,0.11397931234307807,0.1627983152454269,0.12464861140375666,0.05015013688965433,30.2,23.7,53.9,20.3,491748,0.00388613680177652,0.8361274473917535,0.05090005449945907,0.09688295631095602,0.00967162042346893,0.3883899883680259,0.2207675476056842,0.06441103980087362,0.015101230711665324,0.011044274709810717,0.015609621188088207,0.005069669830888992,0.03828180287464311,0.6052103923147628,0.2311204112675598,0.004303016992443284
California,2016,18.61599297911122,0.039998143380160965,0.16403031913455754,0.0801021846897666,0.084873722447534,0.11075817994157593,0.07651630120579037,0.11063224810559597,0.1609592482163553,0.12366524871816285,0.04856550262238263,29.5,25.2,54.7,22.3,488827,0.004034147049978827,0.8289660759327943,0.05495604784514767,0.10003129941676708,0.009582122100456808,0.3822436158395506,0.22220744762461975,0.061725313863595914,0.014512291669649999,0.011889686944460924,0.016345250978362487,0.004919941001622251,0.03899948243448091,0.6082704105951594,0.22830571961041432,0.0038479871201877146
