State,Year,Deaths,Population,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Total,Female_Population,Absolute_Overweight,Absolute_Obese,Absolute_Overweight_or_Obese,Absolute_No_Activity,Births,BirthCenterBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Unmarried,3rdMonthInitialCare,4thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,UnknownInitialCare,20-27Weeks,32-35Weeks,37-39Weeks,40Weeks,42PlusWeeks
Georgia,2014,104,4136909,437876,1107600,927743,440899,442695,897295,1253591,1610590,1099002,654938,8867075,5175404,1469814.7359999998,1676830.896,3146645.6319999998,1335254.232,130946,447,108091,2723.0,17238,2351,59415,27087,10104,2654,1784,23197,1086,6298,85387,24927,351
Georgia,2015,98,4173594,433068,1235222,901071,481934,474059,890232,1237314,1669786,1103518,633496,9063223,5239402,1425117.344,1692326.8459999997,3117444.19,1550862.9920000003,131404,407,107151,3004.0,16299,4220,59387,29271,10061,2824,1952,18540,1178,6207,85987,24994,294
Georgia,2016,73,4200628,402719,1277099,856441,510864,553737,853446,1205013,1691125,1170970,602621,9120366,5292221,1524159.6480000003,1751725.151,3275884.7990000006,1598250.7419999999,130042,485,106264,3370.0,17248,2537,58395,32711,11129,3028,2103,6394,1163,6214,85167,24135,316
Georgia,2017,74,4234912,375896,1373257,840438,569295,609907,849249,1199743,1680559,1206056,567732,9278903,5358658,1495065.582,1800509.0880000002,3295574.67,1762998.4819999998,129243,418,105320,3370.0,17649,2470,58060,32978,11442,2876,2201,2297,1112,6387,84819,23780,258
Georgia,2018,62,4258098,338209,1454588,802853,620344,719940,836582,1159215,1659404,1210341,585887,9389399,5399185,1673747.35,1797928.6049999997,3471675.955,1581961.2049999998,126172,393,103408,2920.0,16823,2603,56966,31316,11268,2832,2019,2851,1085,6434,83338,22841,251
Georgia,2019,64,4280026,351980,1528091,755501,670610,787916,794467,1126919,1729737,1257098,509423,9507912,5447297,1606952.615,1830291.7920000001,3437244.407,1612399.9120000002,126371,19,102656,3355.0,17280,2746,57656,32084,10759,2773,1867,2637,1058,6427,84934,21705,231
Illinois,2011,45,5202335,510231,1662240,1183638,642740,638180,1103230,1510381,2187978,1538764,770362,11743659,6559951,1915505.6919999998,1738387.0150000001,3653892.7070000004,1764626.8189999997,161312,16,141580,8838.0,9030,946,64501,55071,17255,2739,1826,3732,1234,7418,100151,35974,337
Illinois,2012,35,5183306,508855,1760329,1103664,678962,687302,1082121,1513674,2133231,1604451,765915,11829817,6558602,1954463.396,1836408.5600000003,3790871.956,1534712.868,159160,21,139172,9298.0,9437,924,64297,54571,16570,2798,1874,4628,1154,6999,99525,34501,331
Illinois,2013,27,5168870,486479,1797066,1061482,709263,754891,1076230,1493784,2137827,1558602,790013,11866486,6558602,1961021.998,2000373.6099999999,3961395.608,1751146.7340000002,156931,247,137412,8607.0,9792,872,63332,53168,15757,2816,1873,5113,1109,7059,98757,33723,323
Illinois,2014,32,5154130,473259,1823740,1049935,771292,780122,1029209,1461162,2110274,1574989,744909,11814140,6559975,1876152.8500000003,2013912.325,3890065.175,1685913.575,158556,370,137907,9031.0,10354,1058,63555,44936,13341,2893,1892,4315,1215,7174,99577,33387,375
