Notes	Census Division	Census Division Code	Year	Year Code	Ten-Year Age Groups	Ten-Year Age Groups Code	Deaths	Population	Crude Rate
	Division 3: East North Central	CENS-D3	2016	2016	15-24 years	15-24	38	3114636	1.2
	Division 3: East North Central	CENS-D3	2016	2016	25-34 years	25-34	67	3031385	2.2
	Division 3: East North Central	CENS-D3	2016	2016	35-44 years	35-44	39	2849692	1.4
	Division 3: East North Central	CENS-D3	2016	2016	45-54 years	45-54	25	3157966	0.8
	Division 3: East North Central	CENS-D3	2016	2016	55-64 years	55-64	0	3248381	Unreliable
	Division 3: East North Central	CENS-D3	2017	2017	5-14 years	14-May	0	2872322	Unreliable
	Division 3: East North Central	CENS-D3	2017	2017	15-24 years	15-24	24	3089913	0.8
	Division 3: East North Central	CENS-D3	2017	2017	25-34 years	25-34	72	3049327	2.4
	Division 3: East North Central	CENS-D3	2017	2017	35-44 years	35-44	33	2849811	1.2
	Division 3: East North Central	CENS-D3	2017	2017	45-54 years	45-54	27	3098427	0.9
	Division 3: East North Central	CENS-D3	2018	2018	5-14 years	14-May	0	2858598	Unreliable
	Division 3: East North Central	CENS-D3	2018	2018	15-24 years	15-24	21	3059024	0.7
	Division 3: East North Central	CENS-D3	2018	2018	25-34 years	25-34	51	3071595	1.7
	Division 3: East North Central	CENS-D3	2018	2018	35-44 years	35-44	37	2865464	1.3
	Division 3: East North Central	CENS-D3	2018	2018	55-64 years	55-64	0	3275081	Unreliable
	Division 3: East North Central	CENS-D3	2019	2019	15-24 years	15-24	19	3030082	Unreliable
	Division 3: East North Central	CENS-D3	2019	2019	25-34 years	25-34	71	3082008	2.3
	Division 3: East North Central	CENS-D3	2019	2019	35-44 years	35-44	53	2875937	1.8
	Division 3: East North Central	CENS-D3	2019	2019	45-54 years	45-54	0	2947665	Unreliable
	Division 3: East North Central	CENS-D3	2020	2020	5-14 years	14-May	0	2823795	Unreliable
	Division 3: East North Central	CENS-D3	2020	2020	15-24 years	15-24	25	3001218	0.8
	Division 3: East North Central	CENS-D3	2020	2020	25-34 years	25-34	84	3079303	2.7
	Division 3: East North Central	CENS-D3	2020	2020	35-44 years	35-44	57	2891139	2
	Division 3: East North Central	CENS-D3	2020	2020	55-64 years	55-64	0	3236702	Unreliable
	Division 3: East North Central	CENS-D3	2021	2021	15-24 years	15-24	27	3039869	0.9
	Division 3: East North Central	CENS-D3	2021	2021	25-34 years	25-34	96	3069421	3.1
	Division 3: East North Central	CENS-D3	2021	2021	35-44 years	35-44	76	2954781	2.6
	Division 3: East North Central	CENS-D3	2021	2021	55-64 years	55-64	0	3213946	Unreliable
	Division 3: East North Central	CENS-D3	2022	2022	15-24 years	15-24	16	3070774	Unreliable
	Division 3: East North Central	CENS-D3	2022	2022	25-34 years	25-34	92	3040161	3
	Division 3: East North Central	CENS-D3	2022	2022	35-44 years	35-44	70	2937761	2.4
	Division 3: East North Central	CENS-D3	2022	2022	55-64 years	55-64	0	3126185	Unreliable
	Division 3: East North Central	CENS-D3	2023	2023	5-14 years	14-May	0	2813672	Unreliable
	Division 3: East North Central	CENS-D3	2023	2023	15-24 years	15-24	17	3037248	Unreliable
	Division 3: East North Central	CENS-D3	2023	2023	25-34 years	25-34	70	3062221	2.3
	Division 3: East North Central	CENS-D3	2023	2023	35-44 years	35-44	46	2982568	1.5
