,Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
583,2022,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4384305,27.0,36.3,63.3,23.8
584,2023,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4413602,29.7,36.0,65.7,26.6
585,2011,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,318038,28.1,23.6,51.7,19.9
586,2012,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,316827,28.5,23.0,51.5,17.1
587,2013,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,316827,30.0,23.8,53.8,19.9
588,2014,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,318046,28.2,24.2,52.4,19.8
589,2015,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,317490,27.5,25.6,53.1,22.2
590,2016,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,316720,26.5,26.2,52.7,19.1
591,2017,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,315847,29.6,27.2,56.8,21.6
592,2018,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,318181,26.8,27.2,54.0,19.5
593,2019,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,314825,25.5,25.7,51.2,19.6
594,2020,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,315899,29.0,26.4,55.4,18.4
595,2021,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,325277,26.9,29.0,55.9,19.0
596,2022,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,326366,29.1,27.7,56.8,21.4
597,2023,Vermont,Division 1: New England,CENS-D1,Region 1: Northeast,324526,28.1,28.1,56.2,21.2
598,2011,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3421977,29.3,24.9,54.2,22.1
599,2012,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3455583,27.3,26.3,53.6,20.0
600,2013,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3455583,27.6,27.7,55.3,20.3
601,2014,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3531933,31.1,26.0,57.1,18.4
602,2015,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3585130,29.9,25.9,55.8,19.6
603,2016,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3648274,28.9,27.7,56.599999999999994,19.3
604,2017,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3707128,27.9,27.1,55.0,20.2
605,2018,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3768732,29.3,28.0,57.3,18.0
606,2019,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3807321,29.5,28.0,57.5,19.7
607,2020,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3753458,29.1,28.0,57.1,19.7
608,2021,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3841372,30.3,29.3,59.6,19.2
609,2022,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3855375,29.5,31.8,61.3,18.7
610,2023,Washington,Division 9: Pacific,CENS-D9,Region 4: West,3878903,29.1,30.9,60.0,19.4
611,2011,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2876635,30.6,26.1,56.7,22.3
612,2012,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2883661,29.5,29.8,59.3,21.2
613,2013,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2883661,30.9,28.7,59.599999999999994,23.0
614,2014,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2899582,29.6,30.5,60.1,22.9
615,2015,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2903040,28.7,30.1,58.8,21.4
616,2016,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2905788,30.0,29.9,59.9,21.7
617,2017,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2915029,28.3,31.6,59.900000000000006,22.8
618,2018,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2922286,30.3,33.1,63.400000000000006,23.5
619,2019,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2929630,28.4,35.5,63.9,25.6
620,2020,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2917192,30.3,32.0,62.3,22.0
621,2021,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2940659,29.0,34.5,63.5,22.9
622,2022,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2933768,29.6,37.3,66.9,23.4
623,2023,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2951547,29.5,37.5,67.0,29.7
624,2011,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,940890,31.4,34.2,65.6,37.5
625,2012,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,943732,30.0,33.1,63.1,34.5
626,2013,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,943732,28.6,34.9,63.5,33.4
627,2014,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,935640,28.5,36.0,64.5,32.2
628,2015,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,935569,31.0,33.8,64.8,33.0
629,2016,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,930189,28.6,37.4,66.0,31.8
630,2017,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,918691,29.2,36.7,65.9,32.7
631,2018,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,911175,29.6,38.5,68.1,31.0
632,2019,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,906286,28.6,39.8,68.4,33.7
633,2020,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,913683,28.8,37.6,66.4,33.2
634,2021,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,895599,28.5,41.8,70.3,35.4
635,2022,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,893055,28.8,40.5,69.3,34.9
636,2023,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,887440,29.0,42.1,71.1,37.1
637,2011,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,278742,29.3,23.8,53.1,24.3
638,2012,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,283676,30.6,26.8,57.400000000000006,22.6
639,2013,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,283676,29.3,27.4,56.7,25.1
640,2014,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,286972,27.8,29.2,57.0,22.5
641,2015,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,291005,29.9,27.8,57.7,26.8
642,2016,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,287296,29.8,27.2,57.0,24.5
643,2017,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,283536,30.0,28.1,58.1,23.3
644,2018,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,285118,30.3,27.8,58.1,22.3
645,2019,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,282754,30.0,28.5,58.5,23.7
646,2020,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,285068,28.1,31.4,59.5,24.6
647,2021,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,282796,32.3,31.5,63.8,25.3
648,2022,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,283526,33.0,34.3,67.3,25.2
649,2023,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,288322,30.1,34.7,64.80000000000001,27.6
