,State,Year,Deaths,Population,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Total,Female_Population,Absolute_Overweight,Absolute_Obese,Absolute_Overweight_or_Obese,Absolute_No_Activity,Births,ChronicHypertensionBirths,DiabetesBirths,EnclampsiaBirths,Pregnancy-AssociatedHypertensionBirths,TobaccoUseBirths,HospitalBirths,ResidenceBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Vaginal_Delivery,Cesarean_Delivery,Married,Unmarried,NoPrenatalCare,1stMonthInitialCare,2ndMonthInitialCare,3rdMonthInitialCare,4thMonthInitialCare,5thMonthInitialCare,6thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,9thMonthInitialCare,UnknownInitialCare,NotReportedInitialCare,20-27Weeks,28-31Weeks,32-35Weeks,36Weeks,37-39Weeks,40Weeks,41Weeks,42PlusWeeks,MMR
35,Florida,2019,69,7955411,695935,2914163,1607892,1205652,1465698,1764630,2561701,3636072,2597346,1035580,19481869,10979732,3568412.9,2986487.1040000003,6554900.004,2986487.1040000003,220002,4278,16036,294,16935,9011,216112,2052,173982,13338,28285,1453,139533,80321,117419,102543,4699,19653,70019,60880,21281,11406,7229,5974,4905,1522,12425,0,1608,2154,10347,9162,146842,39571,9774,368,31.363351242261434
36,Georgia,2011,48,4060540,476730,1035738,968016,361832,329303,909737,1239514,1616045,997778,721660,8656782,5006214,1421764.7759999998,1466820.7019999998,2888585.478,1486845.558,132409,1777,5024,222,5414,266,131672,520,107448,2525,20634,1669,87732,44433,72240,60169,2462,10514,37277,31213,12101,6476,4120,2725,1861,859,22705,0,1086,1438,6227,5659,86357,25007,5739,289,36.251312221978864
37,Georgia,2012,40,4088762,468991,1063895,950663,391423,395522,912160,1206481,1615464,1042929,711653,8759202,5068892,1515598.7079999999,1546012.06,3061610.7679999997,1302705.244,130280,1964,5600,273,5726,7872,129440,592,104801,3078,20062,2229,86109,44005,71432,58848,2177,10734,39187,32570,12363,6380,3931,2731,1869,855,17378,0,1061,1308,6185,5526,85172,24473,5650,271,30.703101013202335
38,Georgia,2013,82,4104633,438661,1090059,934864,404140,393574,927969,1203972,1592566,1073735,706356,8766634,5068892,1510529.8159999999,1596700.98,3107230.796,1576425.412,128748,2104,5824,268,6159,7753,127857,663,103783,2675,17958,3483,84589,43920,70301,58447,2705,10866,38605,30582,11166,5926,3642,2513,1898,828,19942,0,1113,1445,5985,5057,83734,24583,5857,325,63.6903097523845
39,Georgia,2014,104,4136909,437876,1107600,927743,440899,442695,897295,1253591,1610590,1099002,654938,8867075,5175404,1469814.7359999998,1676830.896,3146645.6319999998,1335254.232,130946,2372,5987,213,6305,7825,130025,662,108091,2723,17238,2351,86473,44242,71531,59415,3283,12504,40757,27087,10104,5508,3386,2654,1784,675,23197,0,1086,1422,6298,5185,85387,24927,6041,351,79.4220518381623
40,Georgia,2015,98,4173594,433068,1235222,901071,481934,474059,890232,1237314,1669786,1103518,633496,9063223,5239402,1425117.344,1692326.8459999997,3117444.19,1550862.9920000003,131404,2573,6194,181,6956,7452,130407,737,107151,3004,16299,4220,87116,44129,72017,59387,3662,12666,42598,29271,10061,5542,3595,2824,1952,685,18540,0,1178,1331,6207,5359,85987,24994,5941,294,74.57916045173663
41,Georgia,2016,73,4200628,402719,1277099,856441,510864,553737,853446,1205013,1691125,1170970,602621,9120366,5292221,1524159.6480000003,1751725.151,3275884.7990000006,1598250.7419999999,130042,2701,7205,185,7810,6848,129019,765,106264,3370,17248,2537,85936,43935,71647,58395,4261,13433,46361,32711,11129,6012,3827,3028,2103,776,6394,0,1163,1439,6214,5704,85167,24135,5778,316,56.13571000138417
42,Georgia,2017,74,4234912,375896,1373257,840438,569295,609907,849249,1199743,1680559,1206056,567732,9278903,5358658,1495065.582,1800509.0880000002,3295574.67,1762998.4819999998,129243,2807,7729,250,8192,6172,128061,822,105320,3370,17649,2470,84964,44098,71166,58060,4900,13940,48021,32978,11442,6052,3762,2876,2201,762,2297,0,1112,1463,6387,5736,84819,23780,5571,258,57.25648584449448
43,Georgia,2018,62,4258098,338209,1454588,802853,620344,719940,836582,1159215,1659404,1210341,585887,9389399,5399185,1673747.35,1797928.6049999997,3471675.955,1581961.2049999998,126172,2736,7423,274,8533,5506,124973,792,103408,2920,16823,2603,83218,42851,69192,56966,5115,14257,46208,31316,11268,5918,3590,2832,2019,789,2851,0,1085,1395,6434,5536,83338,22841,5196,251,49.13927020258061
44,Georgia,2019,64,4280026,351980,1528091,755501,670610,787916,794467,1126919,1729737,1257098,509423,9507912,5447297,1606952.615,1830291.7920000001,3437244.407,1612399.9120000002,126371,2984,8119,286,9052,5219,125133,744,102656,3355,17280,2746,82899,43360,68700,57656,5282,14043,46811,32084,10759,5702,3575,2773,1867,828,2637,0,1058,1375,6427,5841,84934,21705,4702,231,50.64453078633547
