Division,Year,    Male:        6 to 17 years:            No health insurance coverage,    Male:        18 to 24 years:            No health insurance coverage,    Male:        25 to 34 years:            No health insurance coverage,    Male:        35 to 44 years:            No health insurance coverage,    Male:        45 to 54 years:            No health insurance coverage,    Male:        55 to 64 years:            No health insurance coverage,    Male:        65 to 74 years:            No health insurance coverage,    Male:        75 years and over:            No health insurance coverage,    Female:        Under 6 years:            No health insurance coverage,    Female:        6 to 17 years:            No health insurance coverage,    Female:        18 to 24 years:            No health insurance coverage,    Female:        25 to 34 years:            No health insurance coverage,    Female:        35 to 44 years:            No health insurance coverage,    Female:        45 to 54 years:            No health insurance coverage,    Female:        55 to 64 years:            No health insurance coverage,    Female:        65 to 74 years:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Male:        Under 6 years:            With health insurance coverage,    Male:        6 to 17 years:            With health insurance coverage,    Male:        18 to 24 years:            With health insurance coverage,    Male:        25 to 34 years:            With health insurance coverage,    Male:        35 to 44 years:            With health insurance coverage,    Male:        45 to 54 years:            With health insurance coverage,    Male:        55 to 64 years:            With health insurance coverage,    Male:        65 to 74 years:            With health insurance coverage,    Male:        75 years and over:            With health insurance coverage,    Female:        Under 6 years:            With health insurance coverage,    Female:        6 to 17 years:            With health insurance coverage,    Female:        18 to 24 years:            With health insurance coverage,    Female:        25 to 34 years:            With health insurance coverage,    Female:        35 to 44 years:            With health insurance coverage,    Female:        45 to 54 years:            With health insurance coverage,    Female:        55 to 64 years:            With health insurance coverage,    Female:        65 to 74 years:            With health insurance coverage,    Female:        75 years and over:            With health insurance coverage
South Atlantic Division!!Estimate,2012,"140,343","411,614","870,334","1,302,938","1,013,115","905,066","546,544","28,486","9,244","130,412","415,280","718,439","1,034,373","878,923","860,600","624,588","38,115","18,012","2,168,584","4,278,350","2,012,629","2,415,139","2,772,454","3,233,895","3,007,136","2,329,672","1,513,540","2,072,950","4,114,956","2,206,416","2,939,878","3,183,446","3,579,868","3,363,339","2,810,654","2,239,325"
East South Central Division!!Estimate,2012,"35,883","90,452","245,889","353,346","276,670","230,336","132,774","3,475",967,"32,413","82,491","205,058","289,506","235,995","227,659","160,918","2,564","1,193","695,690","1,411,276","655,061","747,546","864,268","1,002,699","980,620","697,373","406,283","674,760","1,351,913","712,628","915,499","972,923","1,101,041","1,067,487","835,233","641,296"
West South Central Division!!Estimate,2012,"127,844","410,288","709,827","981,272","735,979","588,720","351,439","16,676","7,858","124,003","396,585","605,383","874,426","702,396","597,946","412,433","27,558","12,738","1,535,227","2,900,096","1,163,237","1,531,685","1,627,412","1,797,006","1,635,492","1,158,942","706,941","1,470,970","2,768,316","1,245,705","1,720,200","1,768,088","1,909,845","1,747,423","1,374,796","1,047,248"
Mountain Division!!Estimate,2012,"92,576","235,108","329,709","501,553","361,315","297,390","196,983","10,068","2,647","85,896","223,496","272,099","368,493","311,534","277,807","208,798","12,264","5,288","885,763","1,698,638","785,262","1,041,566","1,060,593","1,131,240","1,095,752","807,379","516,396","840,553","1,626,448","822,198","1,152,855","1,107,676","1,196,912","1,166,586","929,445","694,005"
Pacific Division!!Estimate,2012,"107,307","358,959","792,003","1,223,622","868,024","736,250","465,124","29,298","7,992","113,089","332,866","625,165","875,082","706,888","683,787","489,066","38,315","15,155","1,961,157","3,792,652","1,804,696","2,348,123","2,486,368","2,684,465","2,405,887","1,613,778","1,111,734","1,854,471","3,636,065","1,893,906","2,648,191","2,688,388","2,826,136","2,591,583","1,939,555","1,607,843"
New England Division!!Estimate,2013,"13,086","36,034","92,394","160,000","109,369","106,712","71,044","2,572","1,082","11,647","35,060","66,381","94,664","71,303","88,433","66,111","4,089","1,819","468,013","1,037,847","631,677","740,951","762,647","966,770","876,706","563,812","374,208","444,741","993,607","658,544","832,203","849,387","1,046,620","951,183","668,589","566,349"
Middle Atlantic Division!!Estimate,2013,"65,931","152,287","362,761","710,485","494,970","394,813","264,144","17,798","6,134","63,115","148,870","272,995","481,584","361,773","355,046","264,827","24,036","10,651","1,421,779","2,938,039","1,629,813","1,973,918","2,029,918","2,488,792","2,262,782","1,498,636","1,040,223","1,360,811","2,806,698","1,704,472","2,276,316","2,280,669","2,713,867","2,494,383","1,844,117","1,622,066"
East North Central Division!!Estimate,2013,"81,396","201,179","500,149","766,090","553,145","482,374","323,083","13,981","4,996","77,063","188,314","373,307","531,866","430,409","452,963","362,097","17,400","8,176","1,678,649","3,557,584","1,789,784","2,127,084","2,287,963","2,712,650","2,602,536","1,716,444","1,124,102","1,589,193","3,418,333","1,883,101","2,442,268","2,485,124","2,870,538","2,756,168","2,034,810","1,691,918"
West North Central Division!!Estimate,2013,"45,876","101,958","206,743","302,051","200,107","180,841","117,562","3,725","2,073","42,726","104,079","155,387","240,460","170,681","169,558","132,141","4,942","2,719","787,197","1,589,462","825,844","1,061,691","1,029,153","1,209,572","1,178,739","761,778","526,229","756,754","1,517,301","864,301","1,114,605","1,069,893","1,254,339","1,217,241","879,680","769,959"
South Atlantic Division!!Estimate,2013,"136,936","424,004","841,717","1,319,442","996,413","882,491","554,673","31,712","11,822","130,627","400,867","691,740","1,025,665","885,563","865,600","644,202","46,800","21,296","2,147,826","4,319,907","2,063,713","2,465,388","2,783,610","3,224,085","3,058,646","2,457,107","1,567,537","2,073,761","4,130,714","2,234,100","3,006,724","3,162,396","3,549,889","3,422,890","2,972,302","2,295,126"
