Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2015,Division 5: South Atlantic,Region 3: South,32051297,29.996854863626893,29.569820768875594,59.56667563250249,27.572912543913592
2016,Division 5: South Atlantic,Region 3: South,32400002,29.56160689125884,30.50776252421219,60.06936941547103,29.017404813740445
2017,Division 5: South Atlantic,Region 3: South,32788880,29.603400808444814,31.354686976194373,60.95808778463918,29.83408185031023
2018,Division 5: South Atlantic,Region 3: South,33090367,30.629382224742326,32.32727225116602,62.95665447590836,27.99001884143503
2019,Division 5: South Atlantic,Region 3: South,33345648,30.35424517466267,32.714722415950654,63.068967590613326,27.925266358596478
2020,Division 5: South Atlantic,Region 3: South,33049805,29.705210378699665,32.329849561896054,62.035059940595715,26.9176248362131
2021,Division 5: South Atlantic,Region 3: South,22543733,29.226760505902018,36.6139253068691,65.84068581277111,26.028703671215407
2022,Division 5: South Atlantic,Region 3: South,34023828,28.811307278534326,35.14125366787065,63.95256094640498,26.29762703361891
2023,Division 5: South Atlantic,Region 3: South,34450939,29.450194344485066,34.62092308427355,64.07111742875863,26.989089562986944
2011,Division 6: East South Central,Region 3: South,9520218,29.67873383781758,32.03835993041336,61.71709376823094,35.34825946212576
2012,Division 6: East South Central,Region 3: South,9565549,29.830688693351526,33.09867086562413,62.92935955897566,31.62030183526319
2013,Division 6: East South Central,Region 3: South,9565549,29.77719840230812,34.38542622070098,64.1626246230091,37.12344258547
2014,Division 6: East South Central,Region 3: South,9636111,31.350819692716286,32.16333256227538,63.514152254991664,31.40094410494026
2015,Division 6: East South Central,Region 3: South,9685817,29.13496829436278,35.05026475309207,64.18523304745484,33.80079219956355
2016,Division 6: East South Central,Region 3: South,9716336,29.63151171388062,35.257523329781925,64.88903504366256,32.7232149238149
2017,Division 6: East South Central,Region 3: South,9755666,30.101238265024655,34.720805335074,64.82204360009864,35.178024022142615
2018,Division 6: East South Central,Region 3: South,9795501,28.852414623815566,37.43775577175685,66.29017039557242,34.488812486467005
2019,Division 6: East South Central,Region 3: South,9844293,29.945562327330162,37.88284854991618,67.82841087724634,34.8169338925609
2020,Division 6: East South Central,Region 3: South,9798815,29.846794995109104,38.44736882980237,68.29416382491148,30.885898978600984
2021,Division 6: East South Central,Region 3: South,9950626,29.80663485895259,39.813512707642715,69.6201475665953,32.78551076083052
2022,Division 6: East South Central,Region 3: South,9994289,28.310045386920468,40.661535112702865,68.97158049962333,32.10110410055182
