"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Tobacco Use"	"Tobacco Use Code"	Births
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Not Reported"	"10"	114008
"Total"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"			564749
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Yes"	"1"	57856
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"No"	"2"	386117
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unknown or Not Stated"	"9"	4192
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Not Reported"	"10"	113091
"Total"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"			561256
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Yes"	"1"	56014
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"No"	"2"	385896
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unknown or Not Stated"	"9"	3708
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Not Reported"	"10"	113489
"Total"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"			559107
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Yes"	"1"	69835
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"No"	"2"	491377
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unknown or Not Stated"	"9"	2427
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Not Reported"	"10"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"			563639
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Yes"	"1"	65377
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"No"	"2"	493888
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Unknown or Not Stated"	"9"	2508
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Not Reported"	"10"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"			561773
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Yes"	"1"	61485
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"No"	"2"	491536
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unknown or Not Stated"	"9"	2530
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Not Reported"	"10"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"			555551
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Yes"	"1"	59044
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"No"	"2"	483650
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unknown or Not Stated"	"9"	2099
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Not Reported"	"10"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"			544793
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Yes"	"1"	54624
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"No"	"2"	479024
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unknown or Not Stated"	"9"	2077
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Not Reported"	"10"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"			535725
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Yes"	"1"	49416
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"No"	"2"	475287
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Unknown or Not Stated"	"9"	1901
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Not Reported"	"10"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"			526604
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Yes"	"1"	45188
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"No"	"2"	458955
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Unknown or Not Stated"	"9"	1630
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Not Reported"	"10"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"			505773
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Yes"	"1"	38134
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"No"	"2"	468657
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Unknown or Not Stated"	"9"	1896
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Not Reported"	"10"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"			508687
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Yes"	"1"	29765
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"No"	"2"	466802
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Unknown or Not Stated"	"9"	2033
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Not Reported"	"10"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"			498600
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Yes"	"1"	23744
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"No"	"2"	463857
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Unknown or Not Stated"	"9"	1993
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Not Reported"	"10"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"			489594
"Total"	"Division 3: East North Central"	"CENS-D3"					7547137
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Yes"	"1"	33632
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"No"	"2"	167547
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1781
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Not Reported"	"10"	68610
"Total"	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"			271570
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Yes"	"1"	32262
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"No"	"2"	167578
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1226
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Not Reported"	"10"	68409
"Total"	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"			269475
