"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Chronic Hypertension"	"Chronic Hypertension Code"	Births
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Yes"	"1"	15030
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"No"	"2"	490264
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Unknown or Not Stated"	"9"	479
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Yes"	"1"	16720
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"No"	"2"	491124
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Unknown or Not Stated"	"9"	843
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Yes"	"1"	17258
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"No"	"2"	480403
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Unknown or Not Stated"	"9"	939
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Yes"	"1"	18132
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"No"	"2"	470361
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Unknown or Not Stated"	"9"	1101
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Yes"	"1"	3316
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"No"	"2"	267625
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Unknown or Not Stated"	"9"	629
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Yes"	"1"	3368
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"No"	"2"	264852
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1255
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Yes"	"1"	3864
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"No"	"2"	267333
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Unknown or Not Stated"	"9"	216
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Yes"	"1"	4028
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"No"	"2"	267091
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Unknown or Not Stated"	"9"	211
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Yes"	"1"	4082
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"No"	"2"	270327
