"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Eclampsia"	"Eclampsia Code"	Births
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Yes"	"1"	1208
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"No"	"2"	437706
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Unknown or Not Stated"	"9"	2005
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Not Reported"	"10"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Yes"	"1"	1175
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"No"	"2"	429452
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Unknown or Not Stated"	"9"	937
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Not Reported"	"10"	0
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Yes"	"1"	1459
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"No"	"2"	451218
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Unknown or Not Stated"	"9"	4078
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Not Reported"	"10"	114531
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Yes"	"1"	1631
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"No"	"2"	445580
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unknown or Not Stated"	"9"	3530
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Not Reported"	"10"	114008
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Yes"	"1"	1709
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"No"	"2"	443302
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unknown or Not Stated"	"9"	3154
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Not Reported"	"10"	113091
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Yes"	"1"	1624
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"No"	"2"	441771
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unknown or Not Stated"	"9"	2223
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Not Reported"	"10"	113489
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Yes"	"1"	1519
