"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Diabetes"	"Diabetes Code"	Births
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"No"	"2"	522637
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unknown or Not Stated"	"9"	5020
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Yes"	"1"	38483
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"No"	"2"	518916
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unknown or Not Stated"	"9"	3857
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Yes"	"1"	38522
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"No"	"2"	518122
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unknown or Not Stated"	"9"	2463
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Yes"	"1"	38393
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"No"	"2"	523780
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1466
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Yes"	"1"	40042
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"No"	"2"	521067
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Unknown or Not Stated"	"9"	664
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Yes"	"1"	40885
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"No"	"2"	513928
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unknown or Not Stated"	"9"	738
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Yes"	"1"	42368
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"No"	"2"	501550
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unknown or Not Stated"	"9"	875
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Yes"	"1"	43494
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"No"	"2"	491500
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unknown or Not Stated"	"9"	731
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Yes"	"1"	44955
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"No"	"2"	481065
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Unknown or Not Stated"	"9"	584
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Yes"	"1"	47760
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"No"	"2"	457534
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Unknown or Not Stated"	"9"	479
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Yes"	"1"	50649
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"No"	"2"	457195
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Unknown or Not Stated"	"9"	843
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Yes"	"1"	48869
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"No"	"2"	448792
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Unknown or Not Stated"	"9"	939
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Yes"	"1"	48905
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"No"	"2"	439588
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Unknown or Not Stated"	"9"	1101
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Yes"	"1"	15694
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"No"	"2"	255247
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Unknown or Not Stated"	"9"	629
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Yes"	"1"	16649
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"No"	"2"	251571
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1255
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Yes"	"1"	17538
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"No"	"2"	253659
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Unknown or Not Stated"	"9"	216
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Yes"	"1"	18039
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"No"	"2"	253080
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Unknown or Not Stated"	"9"	211
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Yes"	"1"	18460
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"No"	"2"	255949
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Unknown or Not Stated"	"9"	201
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Yes"	"1"	19027
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"No"	"2"	254644
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Unknown or Not Stated"	"9"	189
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Yes"	"1"	20231
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"No"	"2"	251822
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Unknown or Not Stated"	"9"	104
