"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Marital Status"	"Marital Status Code"	Births
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Married"	"1"	331375
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unmarried"	"2"	233374
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"			564749
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Married"	"1"	327382
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unmarried"	"2"	233874
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"			561256
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Married"	"1"	326234
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unmarried"	"2"	232873
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"			559107
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Married"	"1"	329827
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unmarried"	"2"	233812
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"			563639
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Married"	"1"	328507
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Unmarried"	"2"	233266
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"			561773
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Married"	"1"	328180
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unmarried"	"2"	227371
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"			555551
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Married"	"1"	320811
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unmarried"	"2"	223927
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Not Reported"	"NR"	55
"Total"	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"			544793
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Married"	"1"	316223
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unmarried"	"2"	219434
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Not Reported"	"NR"	68
"Total"	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"			535725
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Married"	"1"	309403
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Unmarried"	"2"	217137
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Not Reported"	"NR"	64
"Total"	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"			526604
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Married"	"1"	295265
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Unmarried"	"2"	210467
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Not Reported"	"NR"	41
"Total"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"			505773
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Married"	"1"	301709
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Unmarried"	"2"	206918
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Unknown or Not Stated"	"9"	0
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Not Reported"	"NR"	60
"Total"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"			508687
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Married"	"1"	297409
