"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"OE Gestational Age 10"	"OE Gestational Age 10 Code"	Births
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"36 weeks"	"05"	5057
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"37 - 39 weeks"	"06"	84195
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"40 weeks"	"07"	32410
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"41 weeks"	"08"	13955
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"42 weeks or more"	"09"	548
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or Not Stated"	"10"	93
"Total"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"			144078
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Under 20 weeks"	"01"	36
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"20 - 27 weeks"	"02"	744
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"28 - 31 weeks"	"03"	1137
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"32 - 35 weeks"	"04"	5740
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"36 weeks"	"05"	5200
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"37 - 39 weeks"	"06"	86254
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"40 weeks"	"07"	30649
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"41 weeks"	"08"	12132
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"42 weeks or more"	"09"	447
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unknown or Not Stated"	"10"	190
"Total"	"Division 1: New England"	"CENS-D1"	"2019"	"2019"			142529
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Under 20 weeks"	"01"	39
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"20 - 27 weeks"	"02"	668
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"28 - 31 weeks"	"03"	1035
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"32 - 35 weeks"	"04"	5612
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"36 weeks"	"05"	4859
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"37 - 39 weeks"	"06"	84772
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"40 weeks"	"07"	29322
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"41 weeks"	"08"	11460
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"42 weeks or more"	"09"	386
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or Not Stated"	"10"	299
"Total"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"			138452
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Under 20 weeks"	"01"	32
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"20 - 27 weeks"	"02"	714
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"28 - 31 weeks"	"03"	1138
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"32 - 35 weeks"	"04"	6113
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"36 weeks"	"05"	5245
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"37 - 39 weeks"	"06"	90621
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"40 weeks"	"07"	29455
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"41 weeks"	"08"	10915
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"42 weeks or more"	"09"	487
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unknown or Not Stated"	"10"	566
"Total"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"			145286
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Under 20 weeks"	"01"	28
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"20 - 27 weeks"	"02"	688
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"28 - 31 weeks"	"03"	1049
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"32 - 35 weeks"	"04"	6075
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"36 weeks"	"05"	5259
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"37 - 39 weeks"	"06"	90498
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"40 weeks"	"07"	28813
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"41 weeks"	"08"	10568
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"42 weeks or more"	"09"	465
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unknown or Not Stated"	"10"	228
"Total"	"Division 1: New England"	"CENS-D1"	"2022"	"2022"			143671
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Under 20 weeks"	"01"	36
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"20 - 27 weeks"	"02"	615
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"28 - 31 weeks"	"03"	1129
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"32 - 35 weeks"	"04"	5849
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"36 weeks"	"05"	5083
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"37 - 39 weeks"	"06"	89360
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"40 weeks"	"07"	27467
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"41 weeks"	"08"	9887
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"42 weeks or more"	"09"	403
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or Not Stated"	"10"	256
"Total"	"Division 1: New England"	"CENS-D1"	"2023"	"2023"			140085
"Total"	"Division 1: New England"	"CENS-D1"					2056658
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Under 20 weeks"	"01"	182
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"20 - 27 weeks"	"02"	3420
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"28 - 31 weeks"	"03"	4809
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"32 - 35 weeks"	"04"	21278
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"36 weeks"	"05"	17637
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"37 - 39 weeks"	"06"	284151
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"40 weeks"	"07"	121795
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"41 weeks"	"08"	37478
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"42 weeks or more"	"09"	2314
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or Not Stated"	"10"	1554
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"			494618
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Under 20 weeks"	"01"	143
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"20 - 27 weeks"	"02"	3346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"28 - 31 weeks"	"03"	4662
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"32 - 35 weeks"	"04"	20828
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"36 weeks"	"05"	17191
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"37 - 39 weeks"	"06"	283193
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"40 weeks"	"07"	119532
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"41 weeks"	"08"	37696
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"42 weeks or more"	"09"	2238
