"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Pregnancy-associated Hypertension"	"Pregnancy-associated Hypertension Code"	Births
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Unknown or Not Stated"	"9"	29
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Yes"	"1"	26407
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"No"	"2"	503905
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"Yes"	"1"	28689
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"No"	"2"	507770
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"Yes"	"1"	29149
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"No"	"2"	512584
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"Yes"	"1"	32078
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"No"	"2"	524031
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"Yes"	"1"	34354
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"No"	"2"	525959
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"Yes"	"1"	35217
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"No"	"2"	516871
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"Yes"	"1"	36767
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"No"	"2"	494030
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Yes"	"1"	39655
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"No"	"2"	485366
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Unknown or Not Stated"	"9"	36
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Yes"	"1"	41147
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"No"	"2"	480696
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Unknown or Not Stated"	"9"	404
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Yes"	"1"	41996
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"No"	"2"	465898
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Unknown or Not Stated"	"9"	498
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Yes"	"1"	44984
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"No"	"2"	469855
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Unknown or Not Stated"	"9"	567
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Yes"	"1"	47950
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"No"	"2"	480682
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Unknown or Not Stated"	"9"	1391
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Yes"	"1"	49625
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"No"	"2"	475805
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Unknown or Not Stated"	"9"	615
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Yes"	"1"	13178
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"No"	"2"	299478
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Unknown or Not Stated"	"9"	32
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Yes"	"1"	13022
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"No"	"2"	293124
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Unknown or Not Stated"	"9"	33
	"Division 8: Mountain"	"CENS-D8"	"2012"	"2012"	"Yes"	"1"	13798
